text,label
Where can I find technical supervision,11
Comment aller au Main Corridor ?,1
Where can I find Toilets,14
How should I be restaurant,13
Where can I find finance office,5
Nereke inzira yerekeza toilet kuri,8
Nereke inzira yerekeza manager kuri office,18
I have a session at director office,15
How should I be Storage Room B,7
Montrez-moi le chemin vers hr manager,4
Where can I find maintenance supervisor office,25
Can you direct me to Plant Director ibiro,16
Je dois rencontrer support offices block,10
Pouvez-vous m'indiquer Sales office ?,17
Nshaka gusura restaurant,13
How should I be conference room,6
Where can I find storage room b,7
Can you direct me to first aid ibiro,23
How should I be sales office,17
Plant chief Office iri he?,18
Je cherche maintenance chief ibiro,20
Ndashaka kubona restroom murakoze,14
Where can I find industrial operations,11
I need directions to Meeting Room 3,6
I have a inama at Restaurant,13
How should I be maintenance coordinator office,21
How should I be technical supervision,11
Pouvez-vous m'indiquer waiting area ? murakoze,2
aller Comment au conference icyumba ?,6
How should I be clinic,23
kuri Njyanye First Aid Office,23
How should I be Plant Director Office,16
Where can I find Restaurant,13
How should I be medical room,23
Where can I find corridor b,3
Where is storage room b?,7
Nereke yerekeza inzira kuri front desk,0
Where can I find director office,15
How should I be ubuyobozi bwa hr,4
Where can I find Maintenance Coordinator Office,21
How should I be director plant office,16
Where can I find Maintenance Coordinator Office,21
Ndashaka guhura n'umuyobozi wa human resource bureau,4
Je cherche ibiro imari by,5
Where can I find accounting department,5
Show me the way to director bureau,15
How should I be finance manager,5
I want to go to the resource human ibiro,4
Where can I find board room,6
Where can I find cafeteria,13
Where can I find First Aid Office,23
Pouvez-vous m'indiquer managing director office ?,15
How should I be server room,7
Nshaka gusura Maintenance Supervisor office,25
I want to go to the Stock / Warehouse Area,12
Where can I find finance manager,5
Je cherche restroom,14
How should I be waiting area,2
I want to go to the block a,9
How should I be first aid office,23
me Show the way to waiting area,2
How should I be Main Corridor,1
Where can I find accounting department,5
How should I be supervisor office,25
Where can I find block a,9
Nshaka gusura toilets,14
Can you direct me to ibiro by imari?,5
Nshaka gusura warehouse,12
Montrez-moi le chemin vers Plant Manager Office,18
Where can I find Block A,9
How should I be maintenance coordinator office,21
Where can I find ubuyobozi bwa hr,4
Ndashaka kujya kuri director plant office,16
Where can I find medical room,23
J'ai rendez-vous au operational block,10
Restaurant iri he? thanks,13
Njyanye kuri admin corridor,3
I need directions to accounting department,5
How should I be support offices block,10
me Help reach Waiting Area thanks,2
Je voudrais aller toilets au,14
Ndashaka guhura n'umuyobozi wa front desk,0
How should I be Reception,0
Montrez-moi le chemin vers managing director office,15
Ni hehe habarirwa Secretary to the Plant Manager?,19
I to need find board salle,6
Je ici suis pour voir Restaurant,13
sales ibiro,17
lounge iri he?,2
Nereke inzira yerekeza administrative kuri block,9
Where can I find finance office,5
How should I be Plant Manager Office,18
How should I be canteen,13
How should I be chief of maintenance office,20
I am here to visit first aid ibiro,23
Where can I find hr manager,4
Where can I find Secretary to the Plant Manager,19
How should I be ressources humaines,4
Where can I find Chief of Maintenance Office,20
Mushobora kunyereka meeting salle 3?,6
How should I be sales office,17
How should I be plant manager office,18
Where can I find stock area,12
How should I be HR Office 104,4
Where can I find main corridor,1
I need to find Main Corridor,1
Nshaka gusura cafeteria,13
Where can I find Maintenance Coordinator Office,21
Where can I find warehouse,12
Please take to me main corridor,1
Where can I find stock office,22
Where can I find Managing Director Office,15
Où se restricted trouve zone ?,7
Ndashaka kujya kuri sales office,17
Where can I find Main Corridor,1
Je voudrais aller au ubuyobozi bwa hr,4
How do I get to Block B?,10
How should I be restroom,14
How should I be Meeting Room 3,6
Where can I find bathroom,14
Where can I find bureau finance,5
Nereke yerekeza inzira kuri industry area,11
How should I be warehouse,12
Where can I find bathroom,8
hr chief s'il vous plaît,4
How should I be HR Office 104,4
Where can I find support offices block,10
Where can I find toilet,8
Where is stock office?,22
Montrez-moi le chemin vers medical room,23
How should I be human resource office,4
How should I be cafeteria,13
Où se trouve restroom ?,8
Nereke inzira yerekeza kuri commercial bureau,17
How should I be finance office,5
How should I be commercial office,17
Ndashaka guhura n'umuyobozi wa maintenance coordination,21
How should I be bathroom,14
I am looking for reception desk ngwino,0
I need directions to First Aid Office,23
Where can I find operational block,10
Je dois rencontrer First Aid Office,23
How should I be General Offices,24
How should I be stock office,22
How should I be canteen,13
Ndashaka guhura n'umuyobozi wa corridor a,1
do How I get to support offices block?,10
Where can I find lounge,2
How should I be toilets,14
Where can I find ubuyobozi bwa hr,4
Nshaka gusura chief of maintenance office,20
Where can I find Storage Room B,7
How should I be lounge,2
How should I be human resource office,4
How should I be general offices,24
How should I be general offices,24
How should I be lounge,2
How should I be customer service block,9
Ndashaka kujya kuri Sales Office,17
How should I be inventory office,22
Where can I find plant director office,16
J'ai rendez-vous au Managing Director bureau,15
I am to here visit restroom,14
How should I be director office,15
need I to find hr ibiro,4
Pouvez-vous m'indiquer toilet ?,14
Where can I find operational block,10
Where can I find Block A,9
Where can I find hr manager,4
Where can I find toilet,14
bathroom please,8
Where can I find block b,10
Where can I find director office,15
Où se trouve bathroom ? please,8
J'ai rendez-vous au Managing Director Office,15
How should I be Maintenance Supervisor Office,25
Je suis ici pour voir maintenance supervisor office,25
How should I be clinic,23
Please take me to plant director ibiro ngwino,16
How should I be toilet,8
Where can I find Stock Office,22
Where can I find Chief of Maintenance Office,20
How should I be stock office,22
Where can I find finance office,5
need I directions to director office,15
How should I be bureau finance,5
I have a meeting at reception desk please,0
Mfite inama muri plant manager office,18
I am looking for Block A thanks,9
Show me the way to lounge,2
Where can I find General Offices,24
Nereke inzira yerekeza kuri Secretary to the Plant Manager,19
How should I be conference room,6
Please take me to Admin Corridor,3
Help me reach stock office murakoze,22
How should I be support offices block,10
Where can I find Chief of Maintenance Office,20
Where can I find bathroom,14
How should I be human resource office,4
Show me the way to Main Corridor,1
maintenance chief ibiro murakoze,20
I have a meeting at supervisor office,25
Njyanye Block kuri B,10
How should I be Sales Office,17
Where can I find chief of maintenance office,20
How should I be plant manager office,18
Where can I find Chief of Maintenance Office,20
Nshaka human gusura resource office,4
How should I be Secretary to the Plant Manager,19
I am here to visit board room,6
How should I be Toilets,14
Where can I find hr office,4
Where can I find board room,6
Where can I find bathroom,14
reception desk s'il vous plaît,0
Where is Maintenance Supervisor Office?,25
I need directions to corridor a please,1
I need directions to board room thanks,6
Where can I find sales office,17
Where can I find director office,15
Where can I find Plant Director Office,16
inama Mfite muri Admin Corridor,3
Help me reach Storage Room B,7
How should I be toilet,14
Can you direct me to Main Corridor?,1
How should I be toilet,8
restricted zone s'il vous plaît,7
Où se trouve Managing Director office ?,15
How should I be maintenance coordinator office,21
Ni hehe habarirwa Stock Office?,22
Njyanye kuri Finance Office 201,5
Ndashaka guhura wa n'umuyobozi warehouse,12
Nshaka gusura ressources humaines ngwino,4
How do I get to ibiro by imari?,5
I am looking for supervisor office,25
Where can I find admin corridor,3
Where can I find Meeting Room 3,6
How should I be Managing Director Office,15
Montrez-moi le chemin vers conference salle,6
Where can I find front desk,0
How should I be First Aid Office,23
Where can I find maintenance chief office,20
Nereke inzira yerekeza restaurant kuri,13
Where is industrial operations?,11
How should I be medical room,23
Je cherche stock warehouse area,12
Ndashaka kubona office commercial,17
Where can I find corridor a,1
Ni hehe habarirwa manager office?,18
Plant Manager Office,18
Where can I find Waiting Area,2
Ndashaka kubona Stock Office,22
Help me reach block b,10
Sales Office iri he?,17
Where can I find plant director office,16
Can you direct to me Toilets?,14
Mushobora kunyereka stock area?,12
How should I be block b,10
How should I be maintenance coordination,21
Where can I find customer service block,9
I have session a at corridor b,3
How should I be block b,10
Où trouve se board room ?,6
Where can I find Industry Area,11
Montrez-moi le chemin vers Meeting Room 3,6
Where can I find general offices,24
How should I be warehouse,12
Nshaka gusura Plant chief Office,18
J'ai rendez-vous au stock area,12
Pouvez-vous m'indiquer block a ? svp,9
How should I be ressources humaines,4
How should I be bureau finance,5
Je voudrais aller au plant head secretary,19
Ndashaka kujya kuri inventory office,22
Njyanye kuri storage salle b,7
How should I be ubuyobozi bwa hr,4
Nereke inzira kuri yerekeza head office,18
I am here to visit Plant Director Office,16
How should I be accounting department,5
Where can I find customer service block,9
I need directions to operational block,10
Ni hehe habarirwa server icyumba,7
How should I be Maintenance Supervisor Office,25
general offices,24
Je cherche humaines ressources,4
Je suis ici pour voir chief of maintenance ibiro,20
Where can I find Main Corridor,1
Where can I find Maintenance Supervisor Office,25
I want to go to the restroom,14
How do I get to Managing Director bureau,15
Where can I find Sales Office,17
Mfite inama muri meeting icyumba 3,6
Where can I find Admin Corridor,3
How should I be main corridor,1
Where can I find Storage Room B,7
Help me reach First Aid Office,23
How should I be HR Office 104,4
Where can I find HR Office 104,4
How should I be corridor a,1
I am here to visit supervisor office,25
How should I be Plant Manager Office,18
Where can I find Sales Office,17
How should I be industrial operations,11
Where can I find Plant Manager Office,18
How should I be front desk,0
Where can I find industry area,11
How should I be finance manager,5
Where can I find director office,15
Where can I find lounge,2
How should I be stock area,12
Je dois rencontrer conference room,6
How should I be bathroom,8
Where can I find Plant Manager Office,18
Where can I find Plant Manager Office,18
Can you direct to me director office? thanks,15
Je rencontrer dois front desk,0
Where can I find director plant office,16
How should I be Maintenance Coordinator Office,21
Where can I find bathroom,8
I am looking for secretary to the plant manager,19
How should I be hr office,4
How should I be secretary to the plant manager,19
Ndashaka kujya kuri director ibiro,15
Where can I find maintenance coordination,21
Where can I find server room,7
How should I be commercial office,17
Where can I find human resource office,4
Pouvez-vous m'indiquer ubuyobozi bwa ? hr,4
Where is administrative block?,9
How should I be waiting area,2
Nshaka gusura waiting area,2
I want to go to the corridor b,3
Where can I find Industry Area,11
Where can I find stock area,12
I have a meeting at Industry Area,11
How should I be Reception,0
Ndashaka kujya kuri accounting department,5
How should I be manager office,18
Where can I find Finance Office 201,5
restricted zone,7
Where can I find warehouse,12
Nshaka gusura plant manager office,18
How should I be cafeteria,13
How should I be plant manager office,18
Please take me to coordinator maintenance office,21
take Please me to corridor b ngwino,3
Where can I find managing director office,15
Where can I find conference room,6
I am looking for toilets,14
Je cherche bathroom,8
Comment aller au maintenance coordination ?,21
Storage Room B,7
Ndashaka guhura n'umuyobozi wa Block A,9
secretary to the plant chief iri he?,19
Where can I find Reception,0
I am here to visit stock area,12
Pouvez-vous m'indiquer restroom ?,14
Where can I find Secretary to the Plant Manager,19
Where can I find director plant office,16
I to want go to the stock ibiro,22
Where can I find First Aid Office,23
kuri Njyanye supervisor office,25
How do I get to plant chief office?,18
Where can I find plant director office,16
How should I be front desk,0
How should I be conference room,6
Where can I find Stock Office,22
Where can I find Plant Director Office,16
Where can I find main corridor,1
How should I be General Offices,24
restroom please ngwino,14
Where can I find industry area,11
Where can I find board room,6
Ndashaka administrative kubona block ngwino,9
How should I be General Offices,24
How should I be Secretary to the Plant Manager,19
Where can I find customer service block,9
Where can I find restricted zone,7
Where can I find operational block,10
How do I get to server salle,7
Where can I find medical room,23
How should I be toilets,14
Where can I find maintenance coordinator office,21
J'ai rendez-vous au restroom,8
Je dois toilet rencontrer,14
Where is operational block?,10
How should I be Maintenance Supervisor Office,25
Mfite inama muri customer service block,9
How should I be stock office,22
How should I be restaurant,13
Where can I find hr office,4
Where can I find Waiting Area,2
Ndashaka kujya kuri main corridor,1
How should I be restroom,8
Storage Room B iri he?,7
Can you direct me to supervisor office?,25
Where can I find ibiro by imari,5
Where can I find General Offices,24
Pouvez-vous m'indiquer plant manager secretary ?,19
Nshaka technical gusura supervision thanks,11
Where can I find ubuyobozi bwa hr,4
How should I be Managing Director Office,15
J'ai rendez-vous au Maintenance Supervisor Office,25
Where can I find Secretary to the Plant Manager,19
need I to find technical supervision,11
Mfite inama muri accounting department,5
How should I be Sales Office,17
Where can I find Toilets,14
Where can I find General Offices,24
How should I be plant manager secretary,19
How should I be front desk,0
Help me reach maintenance coordinator office,21
How should I be ressources humaines,4
How should I be finance office,5
How should I be General Offices,24
Where can I find Plant Director Office,16
How should I be general office,24
Where can I find Restaurant,13
Mfite inama Storage muri salle B,7
Where can I find Stock Office,22
How should I be chief of maintenance office,20
Block A please,9
How should I be lounge,2
How should I be first aid office,23
Where can I find sales office,17
supervisor office vous s'il plaît,25
Where can I find human resource office,4
Ndashaka kubona plant director office,16
How should I be industry area,11
How should I be Reception,0
How should I be front desk,0
Can you direct me to head bureau,18
Nereke inzira yerekeza kuri Meeting Room 3,6
Show me the way to managing director office,15
How should I be administrative block,9
How should I be toilet,8
Nereke inzira kuri yerekeza bathroom please,8
Comment aller au chief of maintenance office ?,20
How should I be Bathroom,8
Where can I find plant manager secretary,19
How should I be stock office,22
Can you direct me to toilet? svp,14
How should I be toilet,14
rendez-vous J'ai au Industry Area,11
How should I be secretary to the plant manager,19
How should I be Block A,9
How should I be Bathroom,8
Where can I find storage room b,7
Where can I find block a,9
How should I be finance office,5
How should I be stock office,22
How should I be toilets,14
managing director office please,15
Where is Industry Area?,11
Nereke inzira yerekeza kuri finance manager,5
Ndashaka guhura n'umuyobozi wa operational block,10
Where can I find General Offices,24
Ni hehe habarirwa Meeting Room 3?,6
Where can I find ubuyobozi bwa hr,4
Please take me to block a,9
How should I be canteen,13
board room,6
maintenance coordination s'il vous plaît,21
How should I be general offices,24
How should I be ibiro by imari,5
Ndashaka kujya kuri Bathroom,8
Where can I find restaurant,13
I need to find inventory office,22
Where can I find waiting area,2
want I to go to the block b ngwino,10
Show me the way to chief of maintenance office,20
Where can I find toilet,8
Njyanye kuri stock office,22
Please take me to finance manager,5
How should I be customer service block,9
How should I be waiting area,2
Njyanye kuri human resource office,4
How should I be Plant Manager Office,18
Where can I find cafeteria,13
How should I be chief of maintenance office,20
Please take me to Finance bureau 201,5
Where is finance office?,5
How should I be stock office,22
Where can I find ibiro by imari,5
Mushobora kunyereka b? corridor,3
Mushobora kunyereka Storage room B?,7
How should I be Reception,0
How should I be operational block,10
Where can I find Stock Office,22
Where can I find maintenance coordination,21
Where can I find plant manager office,18
How should I be admin corridor,3
Mfite inama muri bathroom,14
How should I be operational block,10
How should I be Plant Manager Office,18
Please take me to front desk,0
Ndashaka kubona Sales Office,17
Where can I find secretary to the plant manager,19
J'ai rendez-vous au finance office,5
How should I be board room,6
Nshaka gusura Corridor Admin,3
Ndashaka guhura n'umuyobozi wa Sales Office,17
Show me the way to Maintenance Coordinator Office,21
J'ai au rendez-vous HR Office 104,4
How should I be warehouse,12
Montrez-moi le chemin vers support offices block,10
I need directions to HR ibiro 104 murakoze,4
Where can I find Stock / Warehouse Area,12
Je cherche secretary to the plant manager,19
Where can I find support offices block,10
How should I be general offices,24
How should I be lounge,2
Where can I find ibiro by imari,5
Where can I find toilets,14
How should I be manager office,18
How should I be HR Office 104,4
How should I be Managing Director Office,15
Ndashaka reception kubona desk svp,0
I am here to visit Toilets,14
Where can I find block b,10
kujya Ndashaka kuri industrial operations svp,11
I want to go to the board room,6
Where can I find corridor b,3
How do I get to ubuyobozi hr? bwa,4
Pouvez-vous m'indiquer Maintenance office Supervisor ? murakoze,25
Where can I find reception desk,0
Where can I find industry area,11
Where can I find toilet,14
Where can I find director office,15
Where can I find block a,9
Where can I find ressources humaines,4
I am here to visit Sales office,17
How should I be storage room b,7
Ndashaka guhura n'umuyobozi wa Office Finance 201,5
How should I be Plant Director Office,16
Where can I find Meeting Room 3,6
Where can I find finance manager,5
Where can I find Industry Area,11
How should I be director plant office,16
Je voudrais aller au clinic,23
How should I be lounge,2
Nereke inzira yerekeza kuri to Secretary the Plant Manager,19
How should I be main corridor,1
Where can I find restroom,8
Ni hehe habarirwa hr office,4
Where can I find Bathroom,8
Emmenez-moi au Plant Director ibiro,16
Stock Office please thanks,22
How should I be plant director office,16
Show me the way to Stock Office,22
How should I be cafeteria,13
I am looking for Bathroom thanks,8
How should I be reception desk,0
Comment aller au Maintenance Coordinator Office ?,21
How should I be warehouse,12
Where can I find admin corridor,3
How should I be HR Office 104,4
Mfite inama muri Stock Office svp,22
How should I be plant manager secretary,19
How should I be front desk,0
How should I be Block A,9
How should I be hr office,4
Where can I find general office,24
Comment aller manager au office ?,18
Je cherche Storage Room B,7
I need to find Chief of Maintenance ibiro,20
How should I be support offices block,10
Nereke inzira yerekeza kuri Sales Office,17
Nshaka gusura block b,10
I have a meeting at plant chief secretary,19
Where can I find Restaurant,13
Ndashaka kubona Area Industry,11
Pouvez-vous m'indiquer chief of maintenance bureau ?,20
How should I be md office,15
Main Corridor s'il vous plaît,1
Nshaka gusura maintenance supervisor office,25
How should I be manager office,18
Where can I find block b,10
Where can I find md office,15
Please take me to Chief of Office Maintenance,20
inama Mfite muri restricted zone,7
I want to go to the Bathroom,8
Je dois rencontrer Maintenance Coordinator office please,21
Ndashaka kujya kuri Plant Director Office,16
Ndashaka guhura n'umuyobozi wa Meeting Room 3,6
How should I be industry area,11
Where can I find stock office,22
How should I be board room,6
How should I be plant manager secretary,19
How should I be conference room,6
I am looking for maintenance supervisor office,25
How should I be front desk,0
canteen please,13
Where can I find ibiro by imari,5
head office please,18
Where can I find industry area,11
Where can I find Industry Area,11
I am here to visit plant manager secretary,19
How should I be restaurant,13
Where can I find maintenance chief office,20
Help me front reach desk,0
How should I be finance office,5
Help me reach corridor b,3
Where can I find storage room b,7
Ndashaka kujya kuri industrial operations,11
Where can I find Restaurant,13
Pouvez-vous m'indiquer secretary to the plant manager ?,19
Where can I find block b,10
Where can I find waiting area,2
Please take me to conference room,6
How should I be clinic,23
Where can I find Maintenance Supervisor Office,25
How should I be Maintenance Coordinator Office,21
I need directions to Chief of Maintenance Office please,20
How should I be Bathroom,8
How should I be hr office,4
Mfite inama muri Plant chief Office,18
How should I be stock warehouse area,12
Where can I find Managing Director Office,15
Emmenez-moi au Restaurant,13
Where is HR office 104? thanks,4
Je dois rencontrer hr manager,4
Please take me to Sales Office,17
main corridor please,1
Nshaka gusura Plant Manager Office,18
How should I be main corridor,1
I need to find toilets,14
Show me the way to Finance Office 201,5
Where can I find restaurant,13
How should I be corridor a,1
How should I be Toilets,14
I am here to server visit room ngwino,7
Where can I find Chief of Maintenance Office,20
How should I be canteen,13
I need directions to HR Office 104,4
Où trouve se maintenance coordination ? thanks,21
Ndashaka guhura n'umuyobozi wa maintenance supervisor office,25
How should I be plant manager secretary,19
cafeteria vous s'il plaît,13
Where can I find Reception,0
Ni hehe habarirwa main corridor?,1
Where can I find restroom,14
Where is managing director office?,15
Where can I find director plant office,16
Je dois rencontrer HR ibiro 104,4
Comment aller au general bureau ?,24
Where can I find board room,6
Où se trouve Maintenance Coordinator Office ?,21
Help me reach inventory bureau,22
I am here to visit Meeting Room 3,6
Can direct you me to general offices?,24
I have a meeting at corridor b,3
Mushobora kunyereka general offices?,24
I want to go to the manager finance,5
Can you direct me to Toilets?,14
Mfite inama muri lounge,2
Montrez-moi le chemin vers human resource bureau,4
How should I be secretary to the plant manager,19
How should I be Chief of Maintenance Office,20
How should I be technical supervision,11
How should I be Chief of Maintenance Office,20
J'ai rendez-vous au technical supervision,11
Where can I find customer service block,9
How should I be Stock / Warehouse Area,12
Where can I find plant director office,16
Where can I find Maintenance Coordinator Office,21
Where can I find plant manager office,18
How do I get to ressources humaines?,4
Mfite inama muri ibiro manager,18
How should I be maintenance chief office,20
Where can I find finance office,5
Ndashaka guhura n'umuyobozi wa main corridor,1
Je voudrais aller block au b thanks,10
I want to go to the ibiro by imari,5
Emmenez-moi au Chief of Maintenance ibiro,20
I have a meeting at meeting room 3,6
Comment au aller warehouse ?,12
Njyanye kuri secretary to the plant umuyobozi,19
Where can I find md office,15
Je dois rencontrer HR Office 104,4
I directions need to medical room,23
How should I be clinic,23
Where can I find toilet,14
Can direct you me to Maintenance Coordinator Office? ngwino,21
How should I be maintenance coordination,21
director plant office s'il vous plaît ngwino,16
Comment aller au bureau finance ?,5
Where can I find main corridor,1
Where is finance bureau ngwino,5
Mushobora kunyereka hr chief,4
Nshaka gusura administrative block,9
Where can I find waiting area,2
Ndashaka guhura n'umuyobozi wa cafeteria,13
inama Mfite muri canteen,13
Where can I find General Offices,24
Where can I find general offices,24
Where can I find Maintenance Supervisor Office,25
Where can I find stock office,22
Where can I find restroom,8
Nereke inzira yerekeza kuri server salle,7
I have a inama at medical room,23
Nshaka gusura hr manager,4
How should I be support offices block,10
How should I be General Offices,24
How should I be maintenance coordinator office,21
How should I be bureau finance,5
Where can I find ressources humaines,4
Where can I find block a,9
How should I be conference room,6
How should I be first aid office,23
How should I be md office,15
How should I be Plant Director Office,16
Where can I find clinic,23
Please me take to conference room,6
Où se trouve stock warehouse area ? ngwino,12
Je cherche Plant Director office,16
Where can I find manager office,18
Ni hehe habarirwa bathroom?,8
How should I be general office,24
Ndashaka kubona front desk,0
Mfite inama muri toilets,14
How should I be restroom,14
How should I be customer service block,9
Ni hehe customer habarirwa service block?,9
Je dois rencontrer maintenance ibiro chief,20
Where can I find Toilets,14
Where can I find plant manager secretary,19
How should I be customer service block,9
Where plant is manager bureau,18
How should I be reception desk,0
Where can I find industry area,11
How should I be block a,9
Je dois rencontrer supervisor office,25
Je voudrais au aller toilet,8
Montrez-moi le chemin vers Finance Office 201,5
Where can I find restricted zone,7
How should I be restroom,8
Where can I find Finance Office 201,5
Can you direct me to First Aid Office?,23
How should I be server room,7
I want to to go the block a,9
Where can I find accounting department,5
Can you direct me to manager office?,18
I need to find clinic please,23
Show me the way to maintenance coordinator office,21
Help me reach Finance office 201,5
operational block please,10
Je suis ici pour voir Block A,9
Where can I find maintenance chief office,20
I need directions to Plant Director Office,16
Help me Chief reach of Maintenance bureau thanks,20
I am looking for / Stock Warehouse Area,12
Nshaka gusura industry area,11
Where can I find general office,24
How should I be stock warehouse area,12
How should I be stock area,12
Where can I find Storage Room B,7
How should I be stock area,12
How should I be industrial operations,11
Ndashaka guhura n'umuyobozi wa stock warehouse area,12
How should I be bathroom,14
Je voudrais aller au lounge,2
J'ai rendez-vous au server salle murakoze,7
Where can I find ibiro by imari,5
Managing Director ibiro vous s'il plaît,15
How should I be director plant office,16
waiting area iri he?,2
ibiro by imari iri he?,5
I am looking for supervisor ibiro,25
Nereke inzira yerekeza kuri board icyumba,6
Where can I find stock office,22
How should I be Plant Director Office,16
How should I be clinic,23
How should I be toilets,14
How should I be accounting department,5
How should I be secretary to the plant manager,19
Where can I find Chief of Maintenance Office,20
general offices iri he?,24
Can you direct me to waiting area?,2
Where can I find Maintenance Coordinator Office,21
Where can I find Secretary to the Plant Manager,19
Nereke inzira yerekeza kuri main corridor,1
Je voudrais aller au Storage salle B,7
Nshaka gusura General Offices,24
How should I be General Offices,24
I need directions to cafeteria thanks,13
I need directions to General Offices,24
How should I be Reception,0
How should I be manager office,18
Please take me to stock office,22
How should I be administrative block,9
Mfite inama commercial muri office,17
Njyanye kuri ubuyobozi bwa hr,4
Where can I find finance office,5
Je suis ici pour voir commercial bureau,17
Njyanye kuri plant director office svp,16
Njyanye kuri md office,15
Comment aller au customer service block ? ngwino,9
J'ai rendez-vous au corridor a,1
Where can I find Maintenance Supervisor Office,25
Where can I find ubuyobozi bwa hr,4
Where can I find board room,6
Nereke inzira yerekeza kuri board room,6
Storage icyumba B,7
How should I be Main Corridor,1
How should I be first aid office,23
How should I be Meeting Room 3,6
Mushobora kunyereka first aid office?,23
Mushobora kunyereka restaurant?,13
How should I be Secretary to the Plant Manager,19
Je cherche md office,15
Show me the way to Stock bureau ngwino,22
Nereke inzira yerekeza kuri Main Corridor,1
hr office s'il vous plaît,4
How should I be general office,24
bureau finance please,5
Ndashaka kujya kuri customer service block,9
guhura Ndashaka n'umuyobozi wa Sales bureau,17
How should I be restroom,14
How should I be stock warehouse area,12
Je dois rencontrer Sales Office,17
Je cherche meeting room 3,6
Where can I find ibiro by imari,5
Comment aller au maintenance coordinator office ?,21
How should I be secretary to the plant manager,19
Je cherche toilets thanks,14
How should I be corridor a,1
Ndashaka kujya kuri office commercial,17
I need find to bureau finance,5
Where can I find Meeting Room 3,6
How should I be bureau finance,5
Mfite inama muri Maintenance Coordinator Office,21
I need directions to Stock Office,22
you Can direct me to maintenance supervisor office,25
Where can I find human resource office,4
Where can I find block b,10
How should I be managing director office,15
Where can I find Secretary to the Plant Manager,19
How should I be industry area,11
Where can I find Bathroom,8
How should I be Main Corridor,1
How should I be Block B,10
Ndashaka guhura n'umuyobozi wa offices general,24
Where can I find Chief of Maintenance Office,20
I am looking for reception desk please,0
Je cherche board room thanks,6
Njyanye kuri Waiting Area,2
Where can I find Toilets,14
Njyanye kuri storage room b,7
Help me reach canteen,13
How should I be corridor a,1
Where can I find lounge,2
How should I be restaurant,13
Help me reach conference salle,6
Ndashaka guhura n'umuyobozi wa Admin Corridor,3
I am here to visit supervisor bureau,25
Where can I find admin corridor,3
Nshaka gusura reception desk,0
Where can I find restroom,8
How should I be ressources humaines,4
How should I be finance manager,5
Mfite inama muri restroom,14
I need to Admin find Corridor,3
How should I be restroom,8
I am here to visit Reception,0
Nereke inzira yerekeza restroom kuri,8
Je ici suis pour voir clinic thanks,23
How should I be ubuyobozi bwa hr,4
Where can I find inventory office,22
Where can I find finance manager,5
How should I be technical supervision,11
Where can I find block b,10
Where can I find corridor a,1
Where can I find bureau finance,5
Mushobora General kunyereka Offices?,24
Where can I find Block B,10
Where can I find toilet,14
Where can I find Finance Office 201,5
How should I be Block B,10
How should I be Plant Manager Office,18
Maintenance Coordinator Office iri he?,21
Help me reach corridor a,1
Where can I find stock warehouse area,12
Where can I find commercial office,17
Where can I find Stock / Warehouse Area,12
HR Office 104 please please,4
How should I be Toilets,14
Show me the way to secretary to the plant manager,19
How should I be administrative block,9
How do I get to industry area?,11
Please take me to restaurant,13
How should I be Toilets,14
Please take me to director plant office,16
How should I be technical supervision,11
Ni hehe habarirwa Finance 201? ibiro,5
How should I be server room,7
I am here to visit finance office thanks,5
storage room b,7
have I a meeting at Managing Director Office,15
Where can I find plant manager office,18
How should I be Sales Office,17
Meeting Room please 3,6
Where can I find HR Office 104,4
How should I be plant manager secretary,19
How should I be Managing Director Office,15
How do I get to corridor b?,3
Je cherche toilets,14
I have session a at accounting department,5
Where can I find maintenance supervisor office,25
Where can I find hr manager,4
Njyanye kuri industry area,11
How should I be medical room,23
How should I be commercial office,17
I need directions to administrative block,9
How should I be Reception,0
Where can I find corridor a,1
Where can I find block a,9
I need directions toilet to ngwino,14
I have a meeting at finance manager,5
Where can I find ressources humaines,4
Where can I find industry area,11
Je suis ici pour voir Maintenance Supervisor office,25
Can you direct me to managing director ibiro,15
Mfite inama muri Bathroom,8
Je voudrais aller au finance manager,5
Where can I find operational block,10
I need directions to maintenance supervisor ibiro,25
Je voudrais aller au inventory office,22
How should I be clinic,23
I need to find storage room b,7
Where can I find ibiro by imari,5
Njyanye kuri Restaurant,13
I am here to visit First Aid Office svp,23
Comment aller au industrial operations ?,11
How should I be maintenance coordination,21
Montrez-moi le chemin vers restricted zone,7
Mfite inama muri Toilets,14
How should I be secretary to the plant manager,19
Secretary to the Plant umuyobozi please,19
Where can I find maintenance coordinator office,21
How should I be clinic,23
How do I get to bathroom?,8
How do I get to maintenance coordinator office?,21
Show me the way to meeting room 3,6
Où se trouve plant office manager ?,18
I want to go to the general offices,24
Where can I find ibiro by imari,5
Ni hehe habarirwa General Offices?,24
How should I be Admin Corridor,3
Mushobora kunyereka toilets? thanks,14
How should I be manager office,18
Montrez-moi le chemin vers hr office,4
Where can I find restroom,14
Where can I find Admin Corridor,3
Nshaka gusura ubuyobozi hr bwa svp,4
How should I be Main Corridor,1
How do I get to Block A?,9
Where can I find stock area,12
How should I be general office,24
Can you me direct to Maintenance Supervisor Office?,25
How should I be canteen,13
Ndashaka kubona director office,15
How should I be Storage Room B,7
Where is toilet?,14
How should I be human resource office,4
How should I be Plant Manager Office,18
Where can I find maintenance coordinator office,21
Où trouve se commercial office ?,17
